Name,Cidade,Propriedade,Capacidade,Longitude,Latitude
Estadio Jose Gomes da Costa,Murici,Particular,3000,-35.944122,-9.312147
Estadio Olival Elias de Moraes,Boca da Mata,Particular,2500,-36.210950,-9.643294
Estadio Edson Matias,Olho D'Agua das Flores,Particular,3000,-37.293899,-9.530301
Estadio Alfredo Leahy,Penedo,Municipal,2000,-36.571285,-10.285275
Estadio Adalberto Cavalcante,Porto Real do Colegio,,2000,-36.832239,-10.188196
Estadio Governador Arnon de Mello,Santana de Ipanema,Ipanema Atletico Clube,3000,-37.250310,-9.364155
Estadio Municipal Rubens Canuto,Pilar,Municipal,2000,-35.961292,-9.612136
Estadio Municipal Teotonio Vilela,Vicosa,Municipal,10000,-36.234758,-9.375464
Estadio Municipal Manoel Moreira,Capela,Municipal,5000,-36.081634,-9.409689
Estadio Orlando Gomes,Uniao dos Palmares,Municipal,4000,-36.024042,-9.156926
Estadio Municipal Gerson Amaral,Coruripe,Municipal,7000,-36.181120,-10.117945
Estadio Municipal Juca Sampaio,Palmeira dos Indios,,8000,-36.635317,-9.413206
Estadio Municipal Luis de Albuquerque Pontes,Atalaia,Municipal,4000,-36.024288,-9.504851
Estadio Edivanil Cavalcante Navarro,Matriz de Camaragibe,Municipal,1500,-35.533148,-9.155256
Estadio Municipal Eduardo de Melo Goncalves,Sao Luis do Quitunde,Municipal,1500,-35.560522,-9.314812
Estadio Municipal Manoel Ferreira de Amorim,Sao Miguel dos Campos,Municipal,5000,-36.099503,-9.792850
Estadio Cleto Marques Luz,Maceio,Municipal,4000,-35.754003,-9.569640
Estadio Nelson Peixoto Feijo,Maceio,Particular,4000,-35.749912,-9.554326
Estadio Coaracy da Mata Fonseca,Arapiraca,Municipal,12500,-36.666797,-9.747539
Estadio Rei Pele (Maceio),Maceio,Estadual,18801,-35.759360,-9.671165
Estadio Gustavo Paiva,Maceio,Centro Sportivo Alagoano (CSA),4000,-35.747762,-9.637734
